din,brand_name,company_name,active_ingredients,last_update
02551209,M-ESZOPICLONE,MANTRA PHARMA INC,ESZOPICLONE 3 MG,22-MAR-2025
02551225,VORANIGO,SERVIER CANADA INC,VORASIDENIB 10 MG,05-JUL-2025
02551233,VORANIGO,SERVIER CANADA INC,VORASIDENIB 40 MG,05-JUL-2025
02551268,M-PROGESTERONE,MANTRA PHARMA INC,PROGESTERONE 100 MG,22-JUL-2025
02551306,WINREVAIR,MERCK CANADA INC,SOTATERCEPT 45 MG,06-FEB-2026
02551314,WINREVAIR,MERCK CANADA INC,SOTATERCEPT 60 MG,06-FEB-2026
02551365,AG-LEVOCARB,ANGITA PHARMA INC.,CARBIDOPA 25 MG / LEVODOPA 100 MG,22-MAR-2025
02551381,ULTRA PROTECTION,BLISTEX CORPORATION,OCTISALATE 5 % / AVOBENZONE 3 % / BEMOTRIZINOL 4 % / OCTINOXATE 7.5 %,08-APR-2025
02551403,MIEBO,BAUSCH & LOMB INC,PERFLUOROHEXYLOCTANE 100 %,05-SEP-2025
02551446,MEN'S HAIR REGROWTH TREATMENT,TARO PHARMACEUTICALS INC,MINOXIDIL 5 %,19-FEB-2026
02551454,FRUZAQLA,TAKEDA CANADA INC,FRUQUINTINIB 1 MG,22-MAR-2025
02551462,FRUZAQLA,TAKEDA CANADA INC,FRUQUINTINIB 5 MG,22-MAR-2025
02551489,UV BRIGHTENING DAILY CREAM,GARNIER CANADA,OCTISALATE 5 % / AVOBENZONE 3 % / OCTOCRYLENE 7 % / HOMOSALATE 5 %,22-MAR-2025
02551551,IMDELLTRA,AMGEN CANADA INC,TARLATAMAB 1 MG,02-JAN-2026
02551578,IMDELLTRA,AMGEN CANADA INC,TARLATAMAB 10 MG,02-JAN-2026
02551608,M-RIVAROXABAN,MANTRA PHARMA INC,RIVAROXABAN 2.5 MG,25-JUN-2025
02551616,M-RIVAROXABAN,MANTRA PHARMA INC,RIVAROXABAN 10 MG,25-JUN-2025
02551624,M-RIVAROXABAN,MANTRA PHARMA INC,RIVAROXABAN 15 MG,25-JUN-2025
02551632,M-RIVAROXABAN,MANTRA PHARMA INC,RIVAROXABAN 20 MG,25-JUN-2025
02551659,WOMEN'S HAIR REGROWTH TREATMENT,TARO PHARMACEUTICALS INC,MINOXIDIL 5 %,19-FEB-2026
